TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL
6.0418,6.399,5.81175,5.533874999999999,6.419352941176469,5.394866666666668,6.017666666666667,6.137550000000002,5.962548387096772,6.7986,6.339333333333333,6.432272727272727,6.211157894736842,6.467176470588235,6.356846153846154,6.026136363636365,6.220240000000001,6.175750000000001,6.717055555555556,6.12,6.861846153846154,6.6699230769230775,6.740599999999999,6.591222222222221,7.075692307692307,7.20242857142857,7.8814166666666665,6.884000000000001,7.064500000000001,7.047388888888888,7.298466666666667,6.8439000000000005,6.636884615384616,6.801333333333334,6.829842105263159,6.600249999999999,6.799300000000001,6.421666666666666,7.334,6.600444444444444,7.212428571428572
5.801,6.002285714285714,6.0592500000000005,5.484999999999999,6.1927,5.757714285714286,5.955411764705881,6.118764705882353,6.57709090909091,6.031541666666666,6.2638181818181815,6.288181818181818,6.421692307692307,6.384925925925927,6.691470588235294,6.793391304347826,6.5800769230769225,6.3095,6.595700000000001,6.8617368421052625,6.638111111111111,6.559611111111111,6.871666666666669,6.625333333333334,6.450166666666665,6.985043478260868,7.086941176470589,6.805200000000001,7.220545454545455,6.466149999999999,6.67,7.204749999999999,7.1198421052631575,6.757679999999998,7.211812500000001,6.7884166666666665,7.168899999999999,6.571235294117647,7.267785714285714,6.627384615384615,6.835999999999999
5.121,5.897,6.0801428571428575,6.359,6.250888888888889,5.362888888888889,5.899190476190476,5.659124999999999,6.254153846153846,6.060333333333334,5.614687499999999,5.964333333333333,6.537333333333334,6.792,6.746833333333332,6.551083333333334,7.208666666666667,6.753357142857143,6.675090909090908,6.4262,6.975478260869566,6.972095238095239,7.226176470588235,6.866406250000002,6.8531,6.464789473684211,6.9650625,6.699699999999998,7.133421052631578,7.2216249999999995,7.368785714285715,6.841578947368421,7.123599999999999,6.94835,6.588789473684209,7.007666666666666,6.636636363636362,7.002142857142856,7.0902352941176465,7.213444444444445,7.375666666666667
5.184,5.548800000000001,6.2170000000000005,5.572,6.448117647058824,6.055888888888889,5.9016153846153845,6.2258,6.037944444444444,6.957000000000001,5.9512857142857145,5.5023333333333335,5.99,6.4824375,7.164160000000002,6.268000000000002,6.720421052631578,6.670950000000002,6.299142857142858,7.016739130434782,6.7684999999999995,6.680555555555555,7.34775,6.981444444444444,7.191083333333334,7.097043478260871,7.088666666666667,6.9697619047619055,7.372086956521739,6.427181818181818,6.9800555555555555,6.962285714285715,7.030333333333333,6.982307692307692,7.071529411764706,6.449884615384615,6.98490909090909,6.5507777777777765,7.081599999999998,6.9831666666666665,7.451166666666666
5.281000000000001,,5.324333333333334,6.96125,5.890000000000001,6.2347777777777775,6.373571428571428,5.526363636363636,5.885315789473682,6.337899999999999,5.873,5.9995,5.810545454545454,6.2266,6.3665,7.0391111111111115,6.3716800000000005,6.648850000000001,7.128500000000002,6.560461538461539,6.466249999999999,6.953199999999999,6.766923076923077,6.616625,6.499791666666667,7.272931034482759,7.3326111111111105,6.858272727272728,6.748923076923078,7.237695652173913,6.828160000000001,7.607470588235294,7.508631578947368,7.030947368421052,7.007190476190475,7.2909999999999995,6.802250000000001,7.079999999999999,6.9373000000000005,7.397818181818184,7.317739130434781
4.784,4.609,6.4845,6.316142857142857,6.030333333333334,5.5748999999999995,6.134399999999999,6.191727272727274,6.168272727272727,5.955571428571429,6.226500000000001,6.7895,6.493266666666667,6.109588235294118,6.593235294117646,6.660875,6.9152499999999995,6.652619047619047,6.9063478260869555,6.9325625,6.585350000000001,7.3043000000000005,7.0883529411764705,6.507380952380952,6.833818181818182,6.619,7.31015,7.213947368421053,7.0137142857142845,6.712959999999997,6.862105263157894,7.1223478260869575,7.1437,7.052052631578948,7.881363636363637,7.214799999999999,7.250199999999999,6.820125,6.60735294117647,6.8072857142857135,6.868700000000001
5.7605,,4.628,6.2885,5.643714285714286,6.288428571428571,6.264666666666667,6.467599999999999,6.145222222222222,6.450857142857144,6.143846153846154,5.8506,6.631692307692306,6.434133333333334,6.430071428571428,6.213,6.635894736842106,6.981333333333333,6.355583333333333,6.725,7.338,6.86095238095238,6.779260869565218,7.346071428571428,6.892925925925925,7.002809523809524,6.900352941176471,7.532565217391304,7.227444444444444,7.4582380952380944,6.5267647058823535,7.216916666666667,6.296636363636364,7.0830909090909095,7.073235294117648,7.382000000000001,7.114083333333333,6.746363636363636,6.5867894736842105,7.388944444444444,6.826933333333334
7.0255,6.2825,5.108499999999999,,6.579000000000001,6.322428571428572,6.663333333333334,6.973375,8.020000000000001,6.3965000000000005,6.217666666666666,6.119777777777777,6.869875,6.10425,6.628285714285714,6.61757142857143,6.436461538461538,7.256217391304347,6.7343125,6.52445,7.078736842105262,7.031809523809524,7.5641904761904755,7.162777777777778,7.631304347826086,7.131318181818181,7.175526315789472,7.093695652173913,7.0770869565217405,7.012,6.87321052631579,6.632944444444444,7.58070588235294,6.781214285714285,6.915272727272727,7.25005,7.467916666666667,7.289866666666666,7.2472,7.270039999999999,7.324800000000001
7.25,8.015999999999998,,,6.122999999999999,6.254250000000001,6.230166666666666,7.3090909090909095,6.335714285714286,6.3806666666666665,6.516444444444444,6.025666666666666,6.663333333333334,6.495875,6.695899999999999,7.394666666666668,6.865869565217392,6.909333333333333,6.788555555555556,6.8836666666666675,6.717466666666667,7.164,7.299999999999999,7.298230769230769,6.9296,7.394227272727273,6.663833333333333,7.320130434782609,6.6739444444444445,7.417949999999999,6.6960555555555565,7.628,6.553533333333332,7.250111111111112,6.931727272727273,6.820142857142857,7.674111111111112,7.091400000000001,6.997466666666667,7.1545,7.124625000000002
5.495,5.595,6.744666666666666,,6.3798,4.604,6.327444444444444,6.3878,7.305,7.0348,6.7581999999999995,7.0284,6.8612222222222226,6.439400000000001,6.392875,6.4061666666666675,7.078461538461538,6.8709999999999996,6.574909090909091,7.033647058823529,7.396916666666666,7.1087058823529405,7.2115,7.7807,7.350052631578946,7.252625,7.59629411764706,7.149315789473683,7.029454545454547,7.2879499999999995,7.6653333333333356,6.938833333333332,7.445785714285714,6.645739130434783,7.380904761904762,6.865470588235293,7.768363636363636,7.8066249999999995,7.584666666666668,7.061368421052632,7.421785714285714
,5.28,6.644,7.723,7.0488,6.4594,5.6808,5.7058333333333335,6.9275,8.090499999999999,6.761833333333333,7.098333333333334,7.192166666666665,6.832333333333334,6.7077,7.484888888888888,7.110625000000001,7.148181818181819,6.91195,6.61,7.336631578947369,7.131764705882354,7.686214285714285,7.206692307692308,7.253437499999999,7.1705000000000005,7.057214285714285,7.1480454545454535,7.281619047619047,7.516285714285713,6.8735294117647046,7.826,7.248950000000001,7.203666666666666,6.312888888888888,7.403124999999998,7.914727272727273,7.836499999999999,7.908230769230769,7.8451,7.9623750000000015
6.168,6.0725,6.394333333333333,5.8765,7.440249999999999,7.284000000000002,6.1674999999999995,5.921857142857142,6.115333333333333,5.733499999999999,6.936,5.6339999999999995,6.73,7.636,6.8152,6.446615384615385,6.672249999999999,6.824714285714285,6.6396999999999995,7.284692307692309,6.871857142857142,7.635473684210526,7.524388888888889,7.262428571428572,7.289666666666668,7.698571428571428,7.2852173913043465,7.103692307692308,7.208000000000001,7.528333333333333,7.380214285714284,7.198428571428573,7.9928125,7.240235294117646,7.408722222222222,6.87857894736842,7.418454545454546,7.819,8.137923076923077,8.063260869565218,7.339571428571429
6.476,5.2829999999999995,5.854,6.760499999999999,5.352499999999999,7.24425,6.496166666666667,7.056,6.777,8.0785,6.070499999999999,6.8606,6.74075,6.034,7.315166666666666,6.848333333333334,6.584416666666666,6.559857142857142,6.477666666666667,7.4608888888888885,7.6258333333333335,7.857666666666667,7.424750000000002,7.559099999999998,7.195444444444444,7.098714285714286,7.756428571428571,7.424368421052631,6.918714285714286,7.332920000000001,7.152,7.386099999999999,7.235500000000001,7.384473684210525,7.395,7.150631578947368,6.7853076923076925,7.0543499999999995,7.149,7.510176470588234,7.804714285714286
5.492000000000001,,6.075,5.9245,6.40775,6.443,8.408999999999999,5.839333333333333,7.080125000000001,5.8702,,5.773,7.648,6.248749999999999,6.1273333333333335,7.928,7.194125,7.015818181818181,6.7035,6.639272727272728,6.733571428571429,6.0832500000000005,7.3622499999999995,7.407125000000001,7.906411764705882,7.89004761904762,7.192999999999999,8.110846153846152,7.087149999999999,7.3940624999999995,7.377764705882353,7.657380952380953,7.813235294117648,7.603230769230768,7.520076923076923,7.275749999999999,7.924874999999999,7.1125500000000015,7.515250000000001,7.548555555555556,7.76525
5.435,5.8260000000000005,,5.172999999999999,6.282999999999999,5.7426666666666675,6.5555,7.6522499999999996,6.8458,7.322333333333333,6.857749999999999,6.452,6.572333333333333,7.643199999999998,7.496499999999999,6.445,7.765124999999999,6.90725,7.132272727272727,6.996571428571428,6.975125,6.700749999999999,7.323299999999999,6.456888888888888,7.6452,8.162500000000001,7.4399999999999995,7.678076923076924,7.50846153846154,7.584650000000001,6.973,7.575666666666668,8.441666666666665,7.283555555555556,7.4078,7.875857142857143,7.536428571428572,7.899153846153846,7.010928571428571,7.562733333333332,8.355923076923078
6.939,5.914,7.1739999999999995,6.9623333333333335,6.724,6.4145,6.464499999999999,6.667,6.875666666666667,7.023,7.877000000000001,6.474,7.481999999999999,7.555166666666666,8.474833333333335,6.949600000000001,7.88725,7.575285714285714,6.907555555555556,6.823428571428572,8.345500000000001,7.6513333333333335,7.629571428571429,7.787333333333332,7.251,7.655266666666667,7.981583333333333,7.443099999999999,7.7036923076923065,7.910866666666665,7.006888888888889,6.574666666666666,6.729749999999999,7.579999999999999,7.360428571428571,7.799263157894737,7.822333333333334,7.541538461538461,7.8556,7.282714285714286,7.468083333333333
,6.121666666666667,5.736000000000001,,7.398666666666667,6.407,6.7175,6.666,6.492000000000001,6.867749999999999,6.807,9.329,5.6265,5.755,7.0945,7.1579999999999995,7.2075,7.45725,7.316166666666668,6.698,7.292875,7.21975,7.89509090909091,6.713909090909092,7.978624999999999,7.401857142857142,7.020705882352941,8.261999999999999,7.270571428571428,8.111000000000002,7.501333333333331,7.1778571428571425,7.910083333333335,7.535166666666666,7.329909090909092,8.059999999999999,7.4723000000000015,7.987916666666667,7.807214285714285,7.393714285714286,7.425333333333334
,,6.481999999999999,5.693,,6.051,6.8004999999999995,8.065,5.156000000000001,7.6135,6.543200000000001,5.971,8.474,6.700500000000002,6.939400000000001,7.450333333333333,,6.894800000000001,6.8823333333333325,7.192666666666667,6.914666666666666,7.535818181818183,7.805142857142856,7.313599999999999,6.6433333333333335,7.940857142857142,7.626833333333333,7.796000000000001,7.825882352941176,7.815545454545455,7.4663076923076925,7.780666666666666,7.3851249999999995,6.9453749999999985,7.6604285714285725,7.843000000000001,7.567571428571428,7.923571428571427,8.306538461538462,7.834666666666666,7.5998
6.32,6.31,6.9915,,7.846,6.032,8.0055,7.582000000000001,7.9085,6.749,,6.6781999999999995,7.482,7.192666666666667,8.565999999999999,6.781000000000001,6.4792499999999995,8.417,9.274,6.929333333333333,7.097999999999999,6.8134,7.5702,8.369,7.667428571428571,7.406200000000001,8.026333333333334,7.975,7.734818181818182,7.820153846153847,8.1535,7.817555555555554,8.142599999999998,7.594636363636363,7.52175,7.542454545454546,7.799416666666666,7.537222222222222,7.279666666666667,8.221625,8.147466666666666
,,,6.6395,6.625,7.349,7.6425,7.884666666666668,6.452000000000001,,5.727,,6.4585,7.1045,7.386,7.662999999999999,7.8688,7.761749999999999,8.76325,7.412000000000001,8.153666666666666,7.896300000000001,6.761428571428572,7.218999999999999,7.753499999999999,7.37025,7.658,7.7712,9.121666666666668,7.5911875,7.969249999999999,7.242333333333334,8.069428571428572,7.8386,7.453249999999999,7.0219,7.021374999999999,7.72075,7.7266666666666675,8.293714285714286,7.946142857142857
6.888999999999999,,,8.962,7.58,6.189500000000001,7.24,6.001,,7.457,6.78,5.495,8.056000000000001,6.804,6.7490000000000006,,7.0200000000000005,7.9845,8.5765,,9.677999999999999,7.910666666666667,6.972,7.2945714285714285,7.5715,8.2436,7.350428571428571,7.1364,8.083428571428572,8.269,7.4323,8.259818181818183,8.56875,8.298166666666665,8.209166666666667,7.328166666666665,7.958799999999999,8.0876,7.613166666666667,7.416,8.149333333333335
,,,7.8805000000000005,6.361,,6.4319999999999995,6.767,6.0,7.254,7.709,,5.641500000000001,,7.207999999999999,7.208200000000001,6.755,6.3825,8.4485,7.4937499999999995,8.924199999999999,7.459,7.5238,7.066833333333332,6.927499999999999,7.591888888888887,6.683666666666666,7.523285714285715,7.5384,8.30075,7.3765,7.659533333333333,7.9955,7.495374999999999,7.664000000000001,8.491000000000001,8.357125,8.206909090909091,7.537999999999999,7.5794999999999995,7.9095
,,7.037000000000001,6.3020000000000005,7.186,7.246,,5.935,6.635,,,,7.876,5.9239999999999995,8.2575,6.6290000000000004,7.8293333333333335,8.2965,8.327,7.952833333333333,7.673500000000001,8.566625,9.229,8.092,8.2085,8.411,7.23275,7.3435,7.717666666666666,7.336333333333333,8.584800000000001,9.242333333333333,8.313375,7.586,7.472800000000001,7.616777777777778,8.4362,7.929799999999998,8.124333333333333,8.358625,7.952500000000001
,,,7.421,,6.862,6.5600000000000005,,6.1339999999999995,6.61,,,,6.9265,7.636500000000001,,7.190333333333334,5.885999999999999,,6.692,6.569,7.695,8.2855,9.965,8.440999999999999,8.25525,8.241499999999998,8.242,7.544333333333334,7.4677500000000006,6.890000000000001,8.057,7.015000000000001,8.054857142857143,7.372199999999999,8.2285,7.2414000000000005,6.875,7.540833333333332,9.280000000000001,8.221499999999999
6.2010000000000005,,,,,8.237,,7.109,,7.4270000000000005,6.608,,,,5.723,,,8.112,,9.683,5.926,8.48,9.1375,8.153,7.9905,7.916,7.848,8.692333333333332,8.303333333333333,7.328799999999999,8.715666666666666,7.551333333333333,8.605333333333334,7.689500000000001,8.298333333333334,7.9594,8.546,7.7054,9.191666666666666,8.16,7.664
